Step,Loss_LR0.1,Loss_LR0.01,Loss_LR0.001,Loss_LR0.0001
1,2.28203797340393,2.30142784118652,2.30802178382874,2.28590869903564
601,0.198811307549477,0.269869387149811,2.19220781326294,2.2953155040741
1201,0.042609356343746,0.223168924450874,1.83667147159576,2.28538513183594
1801,0.011868013069034,0.219804972410202,0.952159583568573,2.27214741706848
2401,0.057391315698624,0.099431075155735,0.643274068832397,2.2627854347229
3001,0.004964001476765,0.185768872499466,0.392402827739716,2.24393439292908
3601,0.081275053322315,0.099828816950321,0.471855938434601,2.2320384979248
4201,0.012755884788931,0.087354123592377,0.328148752450943,2.20131540298462
4801,0.010287588462234,0.038680549710989,0.43951740860939,2.18907451629639
5401,0.001768913702108,0.116892784833908,0.300205647945404,2.18958926200867
6001,0.002932148985565,0.062705159187317,0.354865938425064,2.18206191062927
6601,0.000837349100038,0.069928549230099,0.414334118366242,2.14813494682312
7201,0.003876012517139,0.087316893041134,0.295418381690979,2.10044717788696
7801,0.032810125499964,0.118582829833031,0.193854957818985,2.07426238059998
8401,0.004067449364811,0.096772775053978,0.349318146705627,2.10099577903748
9001,0.006972773000598,0.083506233990193,0.180613443255425,2.08713293075562
9601,0.000271030585282,0.04329115524888,0.145933747291565,2.024827003479
10201,0.013741054572165,0.035520695149899,0.252878874540329,2.02031850814819
10801,0.00708306254819,0.076683774590492,0.434997975826263,1.95211362838745
11401,0.027044303715229,0.099785044789314,0.261584371328354,1.86176633834839
12001,0.011296361684799,0.046100083738566,0.260607779026031,1.82002353668213
12601,0.001286668353714,0.069192923605442,0.327392309904098,1.78464329242706
13201,0.000307227659505,0.004558412823826,0.343563467264175,1.71970582008362
13801,0.000209698802792,0.018104718998075,0.2046267837286,1.58313417434692
14401,0.00157571467571,0.006845965981483,0.21352531015873,1.59285187721252
15001,0.000345424108673,0.102644689381123,0.233391761779785,1.4578982591629
15601,0.000464660290163,0.028103241696954,0.203680440783501,1.36351251602173
16201,6.54023169772699E-05,0.020964067429304,0.08899898827076,1.34955835342407
16801,0.000322281965055,0.061633091419935,0.348664700984955,1.30227768421173
17401,0.000295183301205,0.009210197255015,0.281014889478684,1.12380397319794
18001,6.51633672532625E-05,0.014420410618186,0.167615711688995,0.999877393245697
18601,0.000110166722152,0.015474614687264,0.283133059740067,0.938953220844269
19201,0.000135357928229,0.03450620546937,0.230116277933121,0.890958428382874
19801,0.000170682309545,0.014723812229931,0.176020398736,0.791834652423858
20401,1.8869850464398E-05,0.054427806288004,0.186086907982826,0.836730241775513
21001,0.000272432458587,0.00804047100246,0.105376951396465,0.741060018539429
21601,0.000259752763668,0.036367356777191,0.213782235980034,0.690930962562561
22201,0.000526225776412,0.035974234342575,0.096204854547978,0.619172871112824
22801,5.39799793841667E-06,0.006633658427745,0.139997944235802,0.806661784648895
23401,0.000158245151397,0.051057439297438,0.140876621007919,0.728721022605896
24001,0.001142027205788,0.036610834300518,0.118202015757561,0.620289206504822
24601,0.000116014445666,0.020422220230103,0.146777555346489,0.63398414850235
25201,0.000184970369446,0.014009419828653,0.10563812404871,0.53228110074997
25801,0.000108998101496,0.013922464102507,0.120093956589699,0.70098739862442
26401,0.000354926189175,0.007046269252896,0.164813801646233,0.455820113420486
27001,0.000106231367681,0.011426053009927,0.168077677488327,0.405665785074234
27601,3.71578862541355E-05,0.078715026378632,0.143590986728668,0.520134627819061
28201,0.000119563635963,0.008036291226745,0.101112388074398,0.604884624481201
28801,0.000188806094229,0.015822816640139,0.146391689777374,0.521414637565613
29401,0.000243494840106,0.024514077231288,0.136162370443344,0.623124897480011
30001,1.62423693836899E-05,0.014048006385565,0.184592708945274,0.381049990653992
30601,1.15724469651468E-05,0.015269654802978,0.173055231571198,0.435076117515564
31201,6.58441495033912E-05,0.005219872575253,0.157396242022514,0.534946084022522
31801,6.39461286482401E-05,0.003817170625553,0.104430466890335,0.472179561853409
32401,9.33826377149671E-05,0.012310923077166,0.061717931181192,0.444110095500946
33001,0.00010538467177,0.018230674788356,0.143911182880402,0.464445561170578
33601,0.000635894073639,0.027336288243532,0.105267018079758,0.338385701179504
34201,3.00310093734879E-05,0.032856985926628,0.050949867814779,0.524254322052002
34801,0.000502604292706,0.014082036912441,0.049468975514174,0.461622267961502
35401,1.45263284139219E-05,0.010900258086622,0.134082719683647,0.479878783226013
36001,7.84404473961331E-05,0.004811698105186,0.09243319183588,0.380754202604294
36601,4.30542750109453E-05,0.005045055877417,0.065145112574101,0.316846519708633
37201,4.15167414757889E-06,0.006644689943641,0.08055779337883,0.293902039527893
37801,4.31965199823026E-05,0.0034226605203,0.156748026609421,0.532014191150665
38401,8.21906141936779E-05,0.016045724973083,0.190952360630035,0.426178425550461
39001,2.10922844416928E-05,0.002451445674524,0.188501223921776,0.256483644247055
39601,7.09445521351881E-05,0.054200362414122,0.075195848941803,0.302173733711243
40201,1.16788669402013E-05,0.008161486126482,0.117833517491817,0.406542897224426
40801,9.80519398581237E-05,0.001999652013183,0.12497603148222,0.339164435863495
41401,4.12750659961603E-06,0.003743032924831,0.154246345162392,0.434935539960861
42001,3.27410962199792E-05,0.005456570535898,0.068057648837566,0.540747284889221
42601,2.65894341282547E-05,0.003341858973727,0.039959613233805,0.63627952337265
43201,0.000225515686907,0.001006268314086,0.063815250992775,0.501492321491241
43801,1.76463181560393E-05,0.002006550785154,0.147339597344399,0.264799207448959
44401,1.42686640174361E-05,0.003139512846246,0.083154991269112,0.356082081794739
45001,5.64508809475228E-05,0.00406574876979,0.033692352473736,0.409325242042542
45601,9.00971426744945E-05,0.017292071133852,0.129633098840714,0.33753514289856
46201,0.000156954018166,0.008397730998695,0.027196142822504,0.282662898302078
46801,4.4806110963691E-05,0.006320508662611,0.186311185359955,0.357151538133621
47401,5.07712102262303E-05,0.00435340963304,0.124116785824299,0.365952044725418
48001,3.01111776934704E-06,0.003496208228171,0.158580958843231,0.277263551950455
