Wall time,Step,Value
1511212061.6826153,1,2.3080217838287354
1511212064.0934737,601,2.1922078132629395
1511212066.4105067,1201,1.8366714715957642
1511212068.834009,1801,0.952159583568573
1511212071.2018154,2401,0.6432740688323975
1511212073.5817223,3001,0.3924028277397156
1511212075.9260576,3601,0.47185593843460083
1511212078.2776268,4201,0.328148752450943
1511212080.7040646,4801,0.43951740860939026
1511212083.1842372,5401,0.30020564794540405
1511212085.5468311,6001,0.3548659384250641
1511212087.9084933,6601,0.41433411836624146
1511212090.206717,7201,0.295418381690979
1511212092.5079424,7801,0.19385495781898499
1511212094.820444,8401,0.34931814670562744
1511212097.2520273,9001,0.1806134432554245
1511212099.5543127,9601,0.14593374729156494
1511212102.0223289,10201,0.252878874540329
1511212104.3324566,10801,0.4349979758262634
1511212106.6049187,11401,0.2615843713283539
1511212108.8853083,12001,0.2606077790260315
1511212111.150752,12601,0.3273923099040985
1511212113.4340968,13201,0.3435634672641754
1511212115.7144425,13801,0.20462678372859955
1511212117.9994953,14401,0.21352531015872955
1511212120.2971222,15001,0.23339176177978516
1511212122.7557647,15601,0.20368044078350067
1511212125.076386,16201,0.08899898827075958
1511212127.3581245,16801,0.34866470098495483
1511212129.6569152,17401,0.28101488947868347
1511212131.9683836,18001,0.16761571168899536
1511212134.456319,18601,0.28313305974006653
1511212136.9284568,19201,0.23011627793312073
1511212139.3151257,19801,0.17602039873600006
1511212141.6496532,20401,0.18608690798282623
1511212143.9408937,21001,0.1053769513964653
1511212146.2381704,21601,0.21378223598003387
1511212148.5334828,22201,0.09620485454797745
1511212150.8361185,22801,0.1399979442358017
1511212153.130237,23401,0.1408766210079193
1511212155.4147031,24001,0.11820201575756073
1511212157.7013865,24601,0.14677755534648895
1511212159.9956095,25201,0.10563812404870987
1511212162.2814496,25801,0.12009395658969879
1511212164.5766852,26401,0.1648138016462326
1511212166.8655546,27001,0.16807767748832703
1511212169.1563146,27601,0.1435909867286682
1511212171.447837,28201,0.10111238807439804
1511212173.749649,28801,0.14639168977737427
1511212176.045665,29401,0.13616237044334412
1511212178.342967,30001,0.18459270894527435
1511212180.6520452,30601,0.1730552315711975
1511212182.9439936,31201,0.15739624202251434
1511212185.2416072,31801,0.10443046689033508
1511212187.537383,32401,0.0617179311811924
1511212189.8371367,33001,0.1439111828804016
1511212192.136696,33601,0.10526701807975769
1511212194.427318,34201,0.05094986781477928
1511212196.7408454,34801,0.04946897551417351
1511212199.135485,35401,0.13408271968364716
1511212201.4894671,36001,0.09243319183588028
1511212203.8431485,36601,0.0651451125741005
1511212206.1347363,37201,0.08055779337882996
1511212208.4236627,37801,0.15674802660942078
1511212210.7598076,38401,0.1909523606300354
1511212213.0699859,39001,0.18850122392177582
1511212215.3739188,39601,0.07519584894180298
1511212217.74135,40201,0.11783351749181747
1511212220.0816638,40801,0.1249760314822197
1511212222.4198542,41401,0.15424634516239166
1511212224.7566884,42001,0.06805764883756638
1511212227.0772116,42601,0.0399596132338047
1511212229.4410946,43201,0.06381525099277496
1511212231.7334774,43801,0.1473395973443985
1511212234.030812,44401,0.08315499126911163
1511212236.3228993,45001,0.03369235247373581
1511212238.6296644,45601,0.1296330988407135
1511212240.9312687,46201,0.027196142822504044
1511212243.2282639,46801,0.18631118535995483
1511212245.5205219,47401,0.12411678582429886
1511212247.8132944,48001,0.1585809588432312
1511212250.100757,48601,0.06334003806114197
1511212252.3949282,49201,0.058065805584192276
1511212254.68858,49801,0.04231491684913635
1511212257.0933058,50401,0.13272768259048462
1511212259.3822556,51001,0.025963913649320602
1511212261.6675763,51601,0.061145711690187454
1511212264.0167327,52201,0.05878846347332001
1511212266.4236937,52801,0.051263853907585144
1511212268.7116342,53401,0.06123209372162819
1511212271.1211038,54001,0.056515589356422424
1511212273.48658,54601,0.10053680092096329
1511212275.8502493,55201,0.05957697331905365
1511212278.23562,55801,0.04144126921892166
1511212280.6143458,56401,0.12622129917144775
1511212282.9718015,57001,0.028010588139295578
1511212285.2912447,57601,0.07883213460445404
1511212287.6542635,58201,0.09191951900720596
1511212289.9714592,58801,0.030832961201667786
1511212292.2977757,59401,0.06821756064891815
